id,name,club
352,Jari Olavi Litmanen,Tallinna Kalev Juunior
12315,Toni Micevski,Poeševo
120550,Roque Santa Cruz,Nacional (PAR)
148754,Ali Ashfaq,Super United
163355,Teije ten Den,ROHDA
168050,Sven Braken,MVV Maastricht
168100,Ludcinio Marengo,-
168179,Giovanni Hiwat,Be Quick
168222,Mats Seuntjens,FC Groningen
168228,Felitciano Zschusschen,-
168232,Cas Peters,FSV Frankfurt
168240,Thomas Bruns,Heracles Almelo
168244,Filip Bednarek,Sparta Rotterdam
168265,Mark Diemers,SC Cambuur
168288,Robin Pröpper,FC Twente
168293,Niek te Veluwe,AZSV
168297,Alvin Daniëls,-
168299,Hidde Jurjus,FC Groningen
168335,Tonny Vilhena,Panathinaikos
856984,Jeffrey Sarpong,-
859209,Remko Pasveer,Heracles Almelo
859598,Vurnon Anita,Ajax Amateurs
859612,Georginio Wijnaldum,Al-Ettifaq
860481,Ricky van Wolfswinkel,FC Twente
860972,Jonathan de Guzmán,Sparta Rotterdam
860988,Norichio Nieveld,Papendrecht
861423,Mitchell Burgzorg,-
861891,Kaj Ramsteijn,FC Lisse
861892,Leroy Fer,Gulf United
861928,Rochdi Achenteh,Gestel
861941,Alexander Büttner,Vitesse
861947,Calvin Mac-Intosch,Ajax Amateurs
861948,Robert Mühren,FC Volendam
862067,Mitchell Schet,-
863433,Maico Gerritsen,KFC Sint-Lenaarts
863702,Kelvin Leerdam,-
864168,Patrick van Aanholt,Sparta Rotterdam
864176,Lars Hutten,-
955978,Alejandro Gómez,Padova
962114,Javier García,Boca
964419,Nahuel Guzmán,Tigres
965309,Agustín Marchesín,Boca
1007737,Wang Dalei,Shandong
1201195,Jerry van Wolfgang,-
1401054,Lorenzo De Silvestri,Bologna
1510305,Pedro,Celesti
1510566,Sergio Busquets,-
2105510,Hulk,ATM
2114068,David Luiz,Pafos
5106363,James Milner,Brighton
5108155,Jason Steele,Brighton
5108293,Chris Wood,Nott'm Forest
5109668,Scott Carson,-
5112064,Tom Heaton,Man Utd
5113149,Ashley Young,Ipswich
5114022,Kasper Schmeichel,Celtic
5290748,Paolo Guerrero,Alianza
5610023,Pavao Pervan,VfL Wolfsburg
5666492,Guillermo Ochoa,AEL
5788648,Dušan Tadić,Al-Wahda
